forecast_horizon_months,n,median_RMSE_KNN,P25_RMSE_KNN,P75_RMSE_KNN,min_RMSE_KNN,max_RMSE_KNN,median_RMSE_persistence,P25_RMSE_persistence,P75_RMSE_persistence,min_RMSE_persistence,max_RMSE_persistence,median_SS_persistence,P25_SS_persistence,P75_SS_persistence,min_SS_persistence,max_SS_persistence,KNN_win_count
6,5,20.754610592522543,13.096908187826207,23.250847819780436,5.825076508310863,31.752682906259665,7.275823672000699,6.831003023413414,12.911910287737205,3.5955144129253487,34.34257582589084,-0.8000584921026312,-0.8007287304235999,-0.6200954409668236,-3.648319258156765,0.39565946661241236,1
12,5,26.003196867004963,15.27935144640223,36.166230565129105,14.003491077598305,66.2568335532792,40.54563125563614,26.940258945625015,50.10148212210738,20.54421331626872,87.8311108784619,0.2562698210350701,0.2456336611185136,0.4802020609429809,0.10801165390410006,0.4809894684626306,5
18,5,27.93085076261019,18.03643836911961,37.29460239245929,14.400981520349212,67.51791362909361,49.22984004014411,35.856662199596535,67.3664595564508,22.9326912180616,95.66054565930963,0.29419267720304076,0.2424390905587408,0.5853893622062016,0.21350537546529813,0.598373617706356,5
24,5,33.63694280814772,25.577647899357572,48.61476523687499,14.814859082430555,63.07182314621494,69.98197220205633,58.75293164336202,77.03381626959356,49.18093238551517,89.30451652670216,0.5633483522297629,0.29374430768732296,0.6345109019576043,0.17255592398396435,0.698768234682882,5
30,5,33.293083279710686,30.59245471790947,53.36208934747974,17.393414395589026,59.42067799832485,69.23220358195029,63.46994152106881,84.18296019100042,46.57620564413899,96.79304151323639,0.5180008995635466,0.2941483898462718,0.6265600824489282,0.22923023410175103,0.6560384635174639,5
36,5,41.68257485691389,36.518282185424184,52.16405056465355,31.253218796690906,54.75257742879035,67.47049155961926,58.096244388701116,77.3795518673287,49.37992260471303,104.28733126639302,0.29241542361648054,0.2268612639562646,0.37141750607675317,0.15588010960277354,0.7003162472644233,5
42,5,46.490890708958595,34.327207832788666,50.97859394626598,33.76180279547751,52.13839679581117,65.32919131048035,54.04136007005178,72.55804191650525,49.57726600105246,101.15341691530902,0.28142497483864826,0.21966592692097497,0.36479748495797293,0.06225384215475582,0.6662317119376732,5
48,5,46.90273898893513,37.54863716533122,48.10244339142821,33.10706693115986,49.19336127579545,61.77125387566227,50.57337053736048,68.32969312612397,46.49774917151852,97.18674317617435,0.2800587998398645,0.2212810915534862,0.34536562267087956,-0.00870988004005735,0.6136444546015367,4
54,5,46.17376091349663,35.99206089088728,46.27086248296183,32.75286309477331,49.679848493599046,59.68676301625964,47.84775935413563,66.17049594267533,43.88245070245971,94.41375949843096,0.2492145058631935,0.22639864217601902,0.3154775994344994,-0.05442749304719774,0.6187837336200406,4
60,5,44.21112438554234,35.313332195967284,44.28825771727766,31.44887168776937,50.90891966050735,57.32441441725133,46.723929487036656,65.66167815392255,45.74074673384388,91.54290470092363,0.22875576078737314,0.22467836504014005,0.31245390743697365,0.05212900106004059,0.6142428262317201,5
66,5,42.9036020795535,35.21210714694088,45.30281802701963,30.821311445868893,48.95353153652274,55.780621930343635,52.02076160989245,64.82742394331108,44.082138189788,88.51959304251032,0.2448638468292278,0.1878394958809928,0.30082086052239376,0.17526001635095634,0.6022111496826387,5
72,5,41.50334845874906,35.0477307124166,46.48521031800109,31.80936311452577,47.62667174447498,55.48803018213209,54.16943347554886,64.63489682326616,42.59292075289743,87.61358818279898,0.25317722869798953,0.23382347209735999,0.2631430684464069,0.1622479629314727,0.5999738004190375,5
78,5,42.965868226544316,34.76143995651442,45.02951093913767,32.05997716534736,46.66939083611667,54.891553640376145,52.35777991117733,65.36347098548623,41.28093491709655,87.00810316430501,0.22337085558424008,0.17966412038270907,0.28600194982791727,0.17937948668881643,0.6004804300713078,5
84,5,44.02084231061506,35.07492383599135,44.5992085018236,31.705009956729093,45.972230807779596,54.80224349101896,50.52639405054717,64.1351920886308,44.55295804123741,84.5155675346446,0.28319804914205504,0.19673284328534413,0.28837474882400604,0.11730869895037332,0.5849886019920123,5
